received_at_us,topic,device,window_id,window_start_us,window_end_us,published_at_us,window_start_unix_us,window_end_unix_us,published_at_unix_us,time_sync_ready,signal_profile,anomaly_count,edge_delay_us,sample_count,sampling_frequency_hz,dominant_frequency_hz,average_value,listener_latency_us,end_to_end_latency_us,raw_payload
1776463417619806,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,4,21070922,26046145,26411039,1776463411460160,1776463416435383,1776463416800277,True,clean_reference,0,364894,200,40.0,5.0,-0.0001,819529,1184423,"{""device"":""adaptive-sampling-node"",""window_id"":4,""window_start_us"":21070922,""window_end_us"":26046145,""published_at_us"":26411039,""edge_delay_us"":364894,""window_start_unix_us"":1776463411460160,""window_end_unix_us"":1776463416435383,""published_at_unix_us"":1776463416800277,""time_sync_ready"":true,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0001}"
1776463422636548,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,5,26070922,31046014,31411892,1776463416460162,1776463421435254,1776463421801132,True,clean_reference,0,365878,200,40.0,5.0,-0.0,835416,1201294,"{""device"":""adaptive-sampling-node"",""window_id"":5,""window_start_us"":26070922,""window_end_us"":31046014,""published_at_us"":31411892,""edge_delay_us"":365878,""window_start_unix_us"":1776463416460162,""window_end_unix_us"":1776463421435254,""published_at_unix_us"":1776463421801132,""time_sync_ready"":true,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0000}"
1776463427654730,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,6,31070923,36046015,36411967,1776463421460158,1776463426435250,1776463426801202,True,clean_reference,0,365952,200,40.0,5.0,-0.0,853528,1219480,"{""device"":""adaptive-sampling-node"",""window_id"":6,""window_start_us"":31070923,""window_end_us"":36046015,""published_at_us"":36411967,""edge_delay_us"":365952,""window_start_unix_us"":1776463421460158,""window_end_unix_us"":1776463426435250,""published_at_unix_us"":1776463426801202,""time_sync_ready"":true,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0000}"
1776463432774214,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,7,36070922,41046012,41414315,1776463426460150,1776463431435240,1776463431803543,True,clean_reference,0,368303,200,40.0,5.0,-0.0,970671,1338974,"{""device"":""adaptive-sampling-node"",""window_id"":7,""window_start_us"":36070922,""window_end_us"":41046012,""published_at_us"":41414315,""edge_delay_us"":368303,""window_start_unix_us"":1776463426460150,""window_end_unix_us"":1776463431435240,""published_at_unix_us"":1776463431803543,""time_sync_ready"":true,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0000}"
1776463437591651,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,8,41070922,46045997,46411482,1776463431460161,1776463436435236,1776463436800721,True,clean_reference,0,365485,200,40.0,5.0,-0.0,790930,1156415,"{""device"":""adaptive-sampling-node"",""window_id"":8,""window_start_us"":41070922,""window_end_us"":46045997,""published_at_us"":46411482,""edge_delay_us"":365485,""window_start_unix_us"":1776463431460161,""window_end_unix_us"":1776463436435236,""published_at_unix_us"":1776463436800721,""time_sync_ready"":true,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0000}"
