32151	4.9840	-10.7700	4.9732	107.3000	534.0000
32254	4.9840	-10.6800	4.9733	110.2000	616.0000
32357	4.9840	-12.0200	4.9720	107.3000	534.0000
32460	4.9800	-10.7200	4.9693	107.4000	536.0000
32563	4.9840	-10.8000	4.9732	107.8000	536.0000
32666	4.9880	-10.7600	4.9772	107.6000	536.0000
32769	4.9840	-10.7300	4.9733	106.6000	532.0000
32872	4.9880	-10.7500	4.9773	107.6000	536.0000
32975	4.9840	-10.7600	4.9732	107.8000	537.0000
33078	4.9800	-10.7500	4.9693	107.2000	534.0000
33181	4.9720	-12.1100	4.9599	107.6000	536.0000
33284	4.9840	-10.7600	4.9732	107.0000	532.0000
33387	4.9840	-10.7700	4.9732	107.6000	536.0000
33490	4.9760	-11.9900	4.9640	124.2000	618.0000
33593	4.9800	-10.7600	4.9692	107.7000	537.0000
33696	4.9840	-10.8600	4.9731	116.2000	542.0000
33799	4.9840	-11.3800	4.9726	119.8000	596.0000
33902	4.9840	-10.8500	4.9732	107.8000	536.0000
34005	4.9800	-10.7300	4.9693	116.8000	582.0000
34108	4.9840	-10.8700	4.9731	107.1000	534.0000
34211	4.9840	-10.7600	4.9732	107.5000	573.0000
34314	4.9840	-10.7500	4.9733	107.4000	534.0000
34417	4.9840	-10.7900	4.9732	107.7000	537.0000
34520	4.9840	-10.8100	4.9732	108.2000	539.0000
34623	4.9880	-11.5200	4.9765	107.6000	536.0000
34726	4.9840	-10.7600	4.9732	106.7000	532.0000
34829	4.9840	-11.4400	4.9726	107.5000	603.0000
34932	4.9800	-12.4500	4.9675	114.8000	572.0000
35035	4.9840	-10.7400	4.9733	107.5000	534.0000
35138	4.9840	-10.7600	4.9732	107.8000	536.0000
35241	4.9880	-10.7900	4.9772	108.5000	539.0000
35344	4.9840	-10.7400	4.9733	107.1000	532.0000
35447	4.9880	-12.5300	4.9755	108.0000	539.0000
35550	4.9840	-12.5500	4.9715	106.9000	532.0000
35653	4.9840	-10.7600	4.9732	107.2000	570.0000
35756	4.9720	-13.0400	4.9590	106.8000	532.0000
35859	4.9840	-12.5800	4.9714	108.3000	539.0000
35962	4.9880	-11.0700	4.9769	107.1000	532.0000
36065	4.9840	-10.7500	4.9733	109.4000	546.0000
36168	4.9840	-10.6900	4.9733	106.4000	542.0000
36271	4.9800	-10.7700	4.9692	113.0000	531.0000
36374	4.9840	-12.4900	4.9715	106.4000	531.0000
36477	4.9840	-10.8600	4.9731	106.7000	537.0000
36580	4.9720	-12.6500	4.9594	123.7000	614.0000
36683	4.9680	-13.9100	4.9541	126.4000	626.0000
36786	4.9680	-12.6800	4.9553	127.4000	632.0000
36889	4.9760	-12.0000	4.9640	119.4000	593.0000
36992	4.9840	-10.7300	4.9733	107.6000	536.0000
37095	4.9840	-10.6300	4.9734	109.4000	539.0000
37198	4.9800	-11.4600	4.9685	107.5000	536.0000
37301	4.9840	-10.7100	4.9733	107.4000	536.0000
37404	4.9840	-10.8900	4.9731	108.0000	598.0000
37507	4.9840	-12.0500	4.9720	107.7000	537.0000
37610	4.9840	-10.7700	4.9732	107.7000	536.0000
37713	4.9840	-10.7500	4.9733	107.3000	560.0000
37816	4.9720	-10.7700	4.9612	127.5000	634.0000
37919	4.9840	-11.5000	4.9725	110.5000	577.0000
38022	4.9880	-10.7200	4.9773	107.1000	532.0000
38125	4.9840	-10.8100	4.9732	107.6000	536.0000
38228	4.9800	-10.7300	4.9693	114.8000	534.0000
38331	4.9720	-11.8700	4.9601	133.1000	664.0000
38434	4.9840	-10.7000	4.9733	106.8000	532.0000
38537	4.9880	-10.9100	4.9771	107.7000	532.0000
38640	4.9880	-12.5700	4.9754	111.6000	555.0000
38743	4.9840	-10.7400	4.9733	115.7000	536.0000
38846	4.9800	-11.4400	4.9686	106.4000	531.0000
