received_at_us,topic,device,window_id,window_start_us,window_end_us,published_at_us,window_start_unix_us,window_end_unix_us,published_at_unix_us,time_sync_ready,edge_delay_us,sample_count,sampling_frequency_hz,dominant_frequency_hz,average_value,listener_latency_us,end_to_end_latency_us,raw_payload
1776461914984000,project/adaptive-sampling-node/aggregate,,,,,,,,,,,,,,,,,"{""device"":""adaptive-sampling-node"",""window_id"":16,""window_start_us"":81015680,""window_end_us"":85990748,""published_at_us"":86344410,""edge_delay_us"":353662,""window_start_unix_us"":1776461908785354,""window_end_unix_us"":1776461913760422,""published_at_unix_us"":1776461914114084,""time_sync_ready"":true,""sample_count"":200,""sampli"
1776461920002000,project/adaptive-sampling-node/aggregate,,,,,,,,,,,,,,,,,"{""device"":""adaptive-sampling-node"",""window_id"":17,""window_start_us"":86015680,""window_end_us"":90990748,""published_at_us"":91345582,""edge_delay_us"":354834,""window_start_unix_us"":1776461913785351,""window_end_unix_us"":1776461918760419,""published_at_unix_us"":1776461919115253,""time_sync_ready"":true,""sample_count"":200,""sampli"
1776461924917000,project/adaptive-sampling-node/aggregate,,,,,,,,,,,,,,,,,"{""device"":""adaptive-sampling-node"",""window_id"":18,""window_start_us"":91015680,""window_end_us"":95990751,""published_at_us"":96343434,""edge_delay_us"":352683,""window_start_unix_us"":1776461918785351,""window_end_unix_us"":1776461923760422,""published_at_unix_us"":1776461924113105,""time_sync_ready"":true,""sample_count"":200,""sampli"
1776461929933000,project/adaptive-sampling-node/aggregate,,,,,,,,,,,,,,,,,"{""device"":""adaptive-sampling-node"",""window_id"":19,""window_start_us"":96015680,""window_end_us"":100990751,""published_at_us"":101343718,""edge_delay_us"":352967,""window_start_unix_us"":1776461923785352,""window_end_unix_us"":1776461928760423,""published_at_unix_us"":1776461929113390,""time_sync_ready"":true,""sample_count"":200,""samp"
