received_at_us,topic,device,window_id,window_start_us,window_end_us,published_at_us,window_start_unix_us,window_end_unix_us,published_at_unix_us,time_sync_ready,signal_profile,anomaly_count,edge_delay_us,sample_count,sampling_frequency_hz,dominant_frequency_hz,average_value,listener_latency_us,end_to_end_latency_us,raw_payload
1776762209379690,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,6,30878207,35853270,36208915,0,0,0,False,clean_reference,0,355645,200,40.0,5.0,0.0003,,,"{""device"":""adaptive-sampling-node"",""window_id"":6,""window_start_us"":30878207,""window_end_us"":35853270,""published_at_us"":36208915,""edge_delay_us"":355645,""window_start_unix_us"":0,""window_end_unix_us"":0,""published_at_unix_us"":0,""time_sync_ready"":false,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":0.0003}"
1776762214250074,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,7,35878283,40853272,41198275,0,0,0,False,clean_reference,0,345003,200,40.0,5.0,0.0,,,"{""device"":""adaptive-sampling-node"",""window_id"":7,""window_start_us"":35878283,""window_end_us"":40853272,""published_at_us"":41198275,""edge_delay_us"":345003,""window_start_unix_us"":0,""window_end_unix_us"":0,""published_at_unix_us"":0,""time_sync_ready"":false,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":0.0000}"
1776762219245393,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,8,40878205,45853270,46195644,0,0,0,False,clean_reference,0,342374,200,40.0,5.0,-0.0001,,,"{""device"":""adaptive-sampling-node"",""window_id"":8,""window_start_us"":40878205,""window_end_us"":45853270,""published_at_us"":46195644,""edge_delay_us"":342374,""window_start_unix_us"":0,""window_end_unix_us"":0,""published_at_unix_us"":0,""time_sync_ready"":false,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0001}"
1776762224249825,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,9,45878205,50853270,51193229,0,0,0,False,clean_reference,0,339959,200,40.0,5.0,0.0005,,,"{""device"":""adaptive-sampling-node"",""window_id"":9,""window_start_us"":45878205,""window_end_us"":50853270,""published_at_us"":51193229,""edge_delay_us"":339959,""window_start_unix_us"":0,""window_end_unix_us"":0,""published_at_unix_us"":0,""time_sync_ready"":false,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":0.0005}"
1776762229258401,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,10,50878205,55853295,56199057,0,0,0,False,clean_reference,0,345762,200,40.0,5.0,0.0,,,"{""device"":""adaptive-sampling-node"",""window_id"":10,""window_start_us"":50878205,""window_end_us"":55853295,""published_at_us"":56199057,""edge_delay_us"":345762,""window_start_unix_us"":0,""window_end_unix_us"":0,""published_at_unix_us"":0,""time_sync_ready"":false,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":0.0000}"
1776762234267576,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,11,55878207,60853270,61200764,0,0,0,False,clean_reference,0,347494,200,40.0,5.0,-0.0001,,,"{""device"":""adaptive-sampling-node"",""window_id"":11,""window_start_us"":55878207,""window_end_us"":60853270,""published_at_us"":61200764,""edge_delay_us"":347494,""window_start_unix_us"":0,""window_end_unix_us"":0,""published_at_unix_us"":0,""time_sync_ready"":false,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0001}"
