received_at_us,topic,device,window_id,window_start_us,window_end_us,published_at_us,window_start_unix_us,window_end_unix_us,published_at_unix_us,time_sync_ready,signal_profile,anomaly_count,edge_delay_us,sample_count,sampling_frequency_hz,dominant_frequency_hz,average_value,listener_latency_us,end_to_end_latency_us,raw_payload
1776463757899522,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,2,11095942,16071014,16430618,1776463751756539,1776463756731611,1776463757091215,True,anomaly_stress,1,359604,200,40.0,5.0,-0.0379,808307,1167911,"{""device"":""adaptive-sampling-node"",""window_id"":2,""window_start_us"":11095942,""window_end_us"":16071014,""published_at_us"":16430618,""edge_delay_us"":359604,""window_start_unix_us"":1776463751756539,""window_end_unix_us"":1776463756731611,""published_at_unix_us"":1776463757091215,""time_sync_ready"":true,""signal_profile"":""anomaly_stress"",""anomaly_count"":1,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0379}"
1776463762884688,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,3,16095942,21071019,21430758,1776463756756535,1776463761731612,1776463762091351,True,anomaly_stress,4,359739,200,40.0,5.0,0.156,793337,1153076,"{""device"":""adaptive-sampling-node"",""window_id"":3,""window_start_us"":16095942,""window_end_us"":21071019,""published_at_us"":21430758,""edge_delay_us"":359739,""window_start_unix_us"":1776463756756535,""window_end_unix_us"":1776463761731612,""published_at_unix_us"":1776463762091351,""time_sync_ready"":true,""signal_profile"":""anomaly_stress"",""anomaly_count"":4,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":0.1560}"
1776463767935609,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,4,21095942,26071012,26429952,1776463761756532,1776463766731602,1776463767090542,True,anomaly_stress,5,358940,200,40.0,5.0,-0.1217,845067,1204007,"{""device"":""adaptive-sampling-node"",""window_id"":4,""window_start_us"":21095942,""window_end_us"":26071012,""published_at_us"":26429952,""edge_delay_us"":358940,""window_start_unix_us"":1776463761756532,""window_end_unix_us"":1776463766731602,""published_at_unix_us"":1776463767090542,""time_sync_ready"":true,""signal_profile"":""anomaly_stress"",""anomaly_count"":5,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.1217}"
1776463772884450,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,5,26095942,31071012,31429955,1776463766756537,1776463771731607,1776463772090550,True,anomaly_stress,2,358943,200,40.0,5.0,0.0814,793900,1152843,"{""device"":""adaptive-sampling-node"",""window_id"":5,""window_start_us"":26095942,""window_end_us"":31071012,""published_at_us"":31429955,""edge_delay_us"":358943,""window_start_unix_us"":1776463766756537,""window_end_unix_us"":1776463771731607,""published_at_unix_us"":1776463772090550,""time_sync_ready"":true,""signal_profile"":""anomaly_stress"",""anomaly_count"":2,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":0.0814}"
1776463777968225,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,6,31095942,36071010,36430364,1776463771756532,1776463776731600,1776463777090954,True,anomaly_stress,2,359354,200,40.0,5.0,-0.0887,877271,1236625,"{""device"":""adaptive-sampling-node"",""window_id"":6,""window_start_us"":31095942,""window_end_us"":36071010,""published_at_us"":36430364,""edge_delay_us"":359354,""window_start_unix_us"":1776463771756532,""window_end_unix_us"":1776463776731600,""published_at_unix_us"":1776463777090954,""time_sync_ready"":true,""signal_profile"":""anomaly_stress"",""anomaly_count"":2,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0887}"
