received_at_us,topic,device,window_id,window_start_us,window_end_us,published_at_us,window_start_unix_us,window_end_unix_us,published_at_unix_us,time_sync_ready,signal_profile,anomaly_count,edge_delay_us,sample_count,sampling_frequency_hz,dominant_frequency_hz,average_value,listener_latency_us,end_to_end_latency_us,raw_payload
1776848549498322,iot_indv_project/hamza/adaptive-sampling-node/secure,adaptive-sampling-node,9,45853766,50829023,51161146,1776848543566458,1776848548541715,1776848548873838,True,clean_reference,0,332123,200,40.0,5.0,-0.0,624484,956607,"{""device"":""adaptive-sampling-node"",""window_id"":9,""window_start_us"":45853766,""window_end_us"":50829023,""published_at_us"":51161146,""edge_delay_us"":332123,""window_start_unix_us"":1776848543566458,""window_end_unix_us"":1776848548541715,""published_at_unix_us"":1776848548873838,""time_sync_ready"":true,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0000}"
1776848554428492,iot_indv_project/hamza/adaptive-sampling-node/secure,adaptive-sampling-node,10,50853766,55828857,56160677,1776848548566456,1776848553541547,1776848553873367,True,clean_reference,0,331820,200,40.0,5.0,0.0,555125,886945,"{""device"":""adaptive-sampling-node"",""window_id"":10,""window_start_us"":50853766,""window_end_us"":55828857,""published_at_us"":56160677,""edge_delay_us"":331820,""window_start_unix_us"":1776848548566456,""window_end_unix_us"":1776848553541547,""published_at_unix_us"":1776848553873367,""time_sync_ready"":true,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":0.0000}"
1776848559420669,iot_indv_project/hamza/adaptive-sampling-node/secure,adaptive-sampling-node,11,55853766,60828846,61160275,1776848553566456,1776848558541536,1776848558872965,True,clean_reference,0,331429,200,40.0,5.0,-0.0,547704,879133,"{""device"":""adaptive-sampling-node"",""window_id"":11,""window_start_us"":55853766,""window_end_us"":60828846,""published_at_us"":61160275,""edge_delay_us"":331429,""window_start_unix_us"":1776848553566456,""window_end_unix_us"":1776848558541536,""published_at_unix_us"":1776848558872965,""time_sync_ready"":true,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0000}"
