received_at_us,topic,device,window_id,window_start_us,window_end_us,published_at_us,window_start_unix_us,window_end_unix_us,published_at_unix_us,time_sync_ready,signal_profile,anomaly_count,edge_delay_us,sample_count,sampling_frequency_hz,dominant_frequency_hz,average_value,listener_latency_us,end_to_end_latency_us,raw_payload
1776499140765764,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,296,1480758032,1485733104,1486085588,1776499134205206,1776499139180278,1776499139532762,True,clean_reference,0,352484,200,40.0,5.0,-0.0005,1233002,1585486,"{""device"":""adaptive-sampling-node"",""window_id"":296,""window_start_us"":1480758032,""window_end_us"":1485733104,""published_at_us"":1486085588,""edge_delay_us"":352484,""window_start_unix_us"":1776499134205206,""window_end_unix_us"":1776499139180278,""published_at_unix_us"":1776499139532762,""time_sync_ready"":true,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0005}"
1776499145765322,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,297,1485758031,1490733104,1491085443,1776499139205206,1776499144180279,1776499144532618,True,clean_reference,0,352339,200,40.0,5.0,-0.0004,1232704,1585043,"{""device"":""adaptive-sampling-node"",""window_id"":297,""window_start_us"":1485758031,""window_end_us"":1490733104,""published_at_us"":1491085443,""edge_delay_us"":352339,""window_start_unix_us"":1776499139205206,""window_end_unix_us"":1776499144180279,""published_at_unix_us"":1776499144532618,""time_sync_ready"":true,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0004}"
1776499150776818,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,298,1490758031,1495733104,1496089648,1776499144205204,1776499149180277,1776499149536821,True,clean_reference,0,356544,200,40.0,5.0,-0.0003,1239997,1596541,"{""device"":""adaptive-sampling-node"",""window_id"":298,""window_start_us"":1490758031,""window_end_us"":1495733104,""published_at_us"":1496089648,""edge_delay_us"":356544,""window_start_unix_us"":1776499144205204,""window_end_unix_us"":1776499149180277,""published_at_unix_us"":1776499149536821,""time_sync_ready"":true,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0003}"
1776499155765144,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,299,1495758031,1500733104,1501085393,1776499149205205,1776499154180278,1776499154532567,True,clean_reference,0,352289,200,40.0,5.0,-0.0005,1232577,1584866,"{""device"":""adaptive-sampling-node"",""window_id"":299,""window_start_us"":1495758031,""window_end_us"":1500733104,""published_at_us"":1501085393,""edge_delay_us"":352289,""window_start_unix_us"":1776499149205205,""window_end_unix_us"":1776499154180278,""published_at_unix_us"":1776499154532567,""time_sync_ready"":true,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0005}"
1776499160767686,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,300,1500758031,1505733104,1506086683,1776499154205206,1776499159180279,1776499159533858,True,clean_reference,0,353579,200,40.0,5.0,-0.0003,1233828,1587407,"{""device"":""adaptive-sampling-node"",""window_id"":300,""window_start_us"":1500758031,""window_end_us"":1505733104,""published_at_us"":1506086683,""edge_delay_us"":353579,""window_start_unix_us"":1776499154205206,""window_end_unix_us"":1776499159180279,""published_at_unix_us"":1776499159533858,""time_sync_ready"":true,""signal_profile"":""clean_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0003}"
