# INA219 monitor ready | sda=41 scl=42 sample_period_ms=100 calibration=16V_400mA
elapsed_ms	bus_voltage_V	shunt_voltage_mV	load_voltage_V	current_mA	power_mW
11035	5.0760	-0.9400	5.0751	9.4000	48.0000
11138	5.0760	-0.9400	5.0751	9.4000	48.0000
11241	5.0800	-0.9400	5.0791	9.4000	48.0000
11344	5.0760	-0.9400	5.0751	9.4000	48.0000
11447	5.0800	-0.9400	5.0791	9.4000	48.0000
11550	5.0760	-0.9400	5.0751	9.4000	48.0000
11653	5.0720	-0.9400	5.0711	9.4000	48.0000
11756	5.0760	-0.9500	5.0751	9.4000	48.0000
11859	5.0760	-0.9400	5.0751	9.4000	48.0000
11962	5.0760	-0.9400	5.0751	9.4000	48.0000
12065	5.0760	-0.9400	5.0751	9.4000	48.0000
12168	5.0800	-0.9400	5.0791	9.5000	48.0000
12271	5.0760	-0.9400	5.0751	9.4000	48.0000
12374	5.0800	-0.9400	5.0791	9.4000	48.0000
12477	5.0760	-0.9400	5.0751	9.4000	48.0000
12580	5.0760	-0.9400	5.0751	9.4000	48.0000
12683	5.0760	-0.9500	5.0751	9.5000	48.0000
12786	5.0760	-0.9400	5.0751	9.5000	48.0000
12889	5.0760	-0.9400	5.0751	9.5000	48.0000
12992	5.0760	-0.9400	5.0751	9.4000	48.0000
13095	5.0760	-0.9400	5.0751	9.4000	48.0000
13198	5.0760	-0.9400	5.0751	9.3000	48.0000
13301	5.0760	-0.9400	5.0751	9.4000	48.0000
13404	5.0760	-0.9400	5.0751	9.4000	48.0000
13507	5.0800	-0.9400	5.0791	9.5000	48.0000
13610	5.0760	-0.9300	5.0751	9.4000	48.0000
13713	5.0760	-0.9400	5.0751	9.3000	48.0000
13816	5.0760	-0.9400	5.0751	9.4000	48.0000
13919	5.0800	-0.9400	5.0791	9.4000	48.0000
14022	5.0760	-0.9400	5.0751	9.4000	48.0000
14125	5.0760	-0.9400	5.0751	9.4000	48.0000
14228	5.0760	-0.9400	5.0751	9.4000	48.0000
14331	5.0760	-0.9400	5.0751	9.4000	48.0000
14434	5.0800	-0.9400	5.0791	9.4000	48.0000
14537	5.0760	-0.9400	5.0751	9.4000	48.0000
14640	5.0760	-0.9400	5.0751	9.4000	48.0000
14743	5.0760	-0.9400	5.0751	9.4000	48.0000
14846	5.0760	-0.9400	5.0751	9.5000	48.0000
14949	5.0760	-0.9300	5.0751	9.5000	48.0000
15052	5.0800	-0.9500	5.0791	9.3000	48.0000
15155	5.0760	-0.9400	5.0751	9.4000	48.0000
15258	5.0760	-0.9400	5.0751	9.4000	48.0000
15361	5.0760	-0.9400	5.0751	9.4000	48.0000
15464	5.0760	-0.9500	5.0751	9.4000	48.0000
15567	5.0760	-0.9500	5.0751	9.4000	48.0000
15670	5.0760	-0.9300	5.0751	9.4000	48.0000
15773	5.0760	-0.9400	5.0751	9.4000	48.0000
15876	5.0760	-0.9400	5.0751	9.4000	48.0000
15979	5.0800	-0.9300	5.0791	9.3000	48.0000
