received_at_us,topic,device,window_id,window_start_us,window_end_us,published_at_us,window_start_unix_us,window_end_unix_us,published_at_unix_us,time_sync_ready,signal_profile,anomaly_count,edge_delay_us,sample_count,sampling_frequency_hz,dominant_frequency_hz,average_value,listener_latency_us,end_to_end_latency_us,raw_payload
1776463649557955,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,2,11354328,16329549,16755642,1776463643264692,1776463648239913,1776463648666006,True,noisy_reference,0,426093,200,40.0,5.0,0.0103,891949,1318042,"{""device"":""adaptive-sampling-node"",""window_id"":2,""window_start_us"":11354328,""window_end_us"":16329549,""published_at_us"":16755642,""edge_delay_us"":426093,""window_start_unix_us"":1776463643264692,""window_end_unix_us"":1776463648239913,""published_at_unix_us"":1776463648666006,""time_sync_ready"":true,""signal_profile"":""noisy_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":0.0103}"
1776463654472817,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,3,16354328,21329523,21755375,1776463648264695,1776463653239890,1776463653665742,True,noisy_reference,0,425852,200,40.0,5.0,-0.0311,807075,1232927,"{""device"":""adaptive-sampling-node"",""window_id"":3,""window_start_us"":16354328,""window_end_us"":21329523,""published_at_us"":21755375,""edge_delay_us"":425852,""window_start_unix_us"":1776463648264695,""window_end_unix_us"":1776463653239890,""published_at_unix_us"":1776463653665742,""time_sync_ready"":true,""signal_profile"":""noisy_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0311}"
1776463659492048,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,4,21354328,26329508,26755337,1776463653264697,1776463658239877,1776463658665706,True,noisy_reference,0,425829,200,40.0,5.0,0.0036,826342,1252171,"{""device"":""adaptive-sampling-node"",""window_id"":4,""window_start_us"":21354328,""window_end_us"":26329508,""published_at_us"":26755337,""edge_delay_us"":425829,""window_start_unix_us"":1776463653264697,""window_end_unix_us"":1776463658239877,""published_at_unix_us"":1776463658665706,""time_sync_ready"":true,""signal_profile"":""noisy_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":0.0036}"
1776463664508104,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,5,26354328,31329520,31755367,1776463658264696,1776463663239888,1776463663665735,True,noisy_reference,0,425847,200,40.0,5.0,-0.0018,842369,1268216,"{""device"":""adaptive-sampling-node"",""window_id"":5,""window_start_us"":26354328,""window_end_us"":31329520,""published_at_us"":31755367,""edge_delay_us"":425847,""window_start_unix_us"":1776463658264696,""window_end_unix_us"":1776463663239888,""published_at_unix_us"":1776463663665735,""time_sync_ready"":true,""signal_profile"":""noisy_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0018}"
1776463669525794,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,6,31354328,36329602,36755337,1776463663264701,1776463668239975,1776463668665710,True,noisy_reference,0,425735,200,40.0,5.0,-0.0259,860084,1285819,"{""device"":""adaptive-sampling-node"",""window_id"":6,""window_start_us"":31354328,""window_end_us"":36329602,""published_at_us"":36755337,""edge_delay_us"":425735,""window_start_unix_us"":1776463663264701,""window_end_unix_us"":1776463668239975,""published_at_unix_us"":1776463668665710,""time_sync_ready"":true,""signal_profile"":""noisy_reference"",""anomaly_count"":0,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0259}"
