filter,anomaly_probability,window_size,threshold,trials,samples_per_trial,tpr,fpr,true_positive,false_positive,true_negative,false_negative,contaminated_mean_error,filtered_mean_error,mean_error_reduction_percent,contaminated_fft_error_hz,filtered_fft_error_hz,contaminated_wrong_dominant_windows,filtered_wrong_dominant_windows,contaminated_adaptive_rate_hz,filtered_adaptive_rate_hz,avg_execution_us,estimated_filter_energy_uwh,filter_delay_s,state_memory_bytes
zscore,0.01,200,2.0,100,200,0.7227722772277227,0.0,146,0,19798,56,0.049973494201898574,0.025458103348487318,49.056787492918346,0.0,0.0,0,0,40.0,40.0,668.6720077414066,0.10265555378296153,5.0,800
hampel,0.01,11,2.0,100,200,0.6188118811881188,0.004192342660874836,125,83,19715,77,0.049973494201898574,0.04726442501702848,5.421012134803195,0.0,0.0,0,0,40.0,40.0,1626.5810013283044,0.2497152139330706,0.125,44
zscore,0.05,200,2.0,100,200,0.6725490196078432,0.0,686,0,18980,334,0.11752199612915516,0.07523659218793566,35.98084216911053,0.0,0.0,0,0,40.0,40.0,1848.2930096797645,0.28375278202946624,5.0,800
hampel,0.05,11,2.0,100,200,0.6068627450980392,0.010642781875658588,619,202,18778,401,0.11752199612915516,0.11669173614555317,0.7064719890305015,0.0,0.0,0,0,40.0,40.0,2162.5079901423305,0.3319915484992022,0.125,44
zscore,0.1,200,2.0,100,200,0.5826732673267326,0.0,1177,0,17980,843,0.19195363976836205,0.12551503281936194,34.611798468200014,0.0,0.0,0,0,40.0,40.0,1759.1180035378784,0.2700624981038461,5.0,800
hampel,0.1,11,2.0,100,200,0.5702970297029702,0.01696329254727475,1152,305,17675,868,0.19195363976836205,0.17385743203715784,9.427384525264335,0.0,0.0,0,0,40.0,40.0,2201.2310044374317,0.33793636513663866,0.125,44
