received_at_us,topic,device,window_id,window_start_us,window_end_us,published_at_us,window_start_unix_us,window_end_unix_us,published_at_unix_us,time_sync_ready,edge_delay_us,sample_count,sampling_frequency_hz,dominant_frequency_hz,average_value,listener_latency_us,end_to_end_latency_us,raw_payload
1776462159623779,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,9,46036084,51011271,51374774,1776462153461331,1776462158436518,1776462158800021,True,363503,200,40.0,5.0,-0.0001,823758,1187261,"{""device"":""adaptive-sampling-node"",""window_id"":9,""window_start_us"":46036084,""window_end_us"":51011271,""published_at_us"":51374774,""edge_delay_us"":363503,""window_start_unix_us"":1776462153461331,""window_end_unix_us"":1776462158436518,""published_at_unix_us"":1776462158800021,""time_sync_ready"":true,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0001}"
1776462164641751,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,10,51036085,56011148,56386342,1776462158461335,1776462163436398,1776462163811592,True,375194,200,40.0,5.0,0.0003,830159,1205353,"{""device"":""adaptive-sampling-node"",""window_id"":10,""window_start_us"":51036085,""window_end_us"":56011148,""published_at_us"":56386342,""edge_delay_us"":375194,""window_start_unix_us"":1776462158461335,""window_end_unix_us"":1776462163436398,""published_at_unix_us"":1776462163811592,""time_sync_ready"":true,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":0.0003}"
1776462169657928,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,11,56036084,61011152,61376434,1776462163461334,1776462168436402,1776462168801684,True,365282,200,40.0,5.0,-0.0,856244,1221526,"{""device"":""adaptive-sampling-node"",""window_id"":11,""window_start_us"":56036084,""window_end_us"":61011152,""published_at_us"":61376434,""edge_delay_us"":365282,""window_start_unix_us"":1776462163461334,""window_end_unix_us"":1776462168436402,""published_at_unix_us"":1776462168801684,""time_sync_ready"":true,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0000}"
1776462174676182,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,12,61036084,66011149,66375862,1776462168461331,1776462173436396,1776462173801109,True,364713,200,40.0,5.0,-0.0,875073,1239786,"{""device"":""adaptive-sampling-node"",""window_id"":12,""window_start_us"":61036084,""window_end_us"":66011149,""published_at_us"":66375862,""edge_delay_us"":364713,""window_start_unix_us"":1776462168461331,""window_end_unix_us"":1776462173436396,""published_at_unix_us"":1776462173801109,""time_sync_ready"":true,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0000}"
1776462179695029,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,13,66036084,71011161,71374569,1776462173461336,1776462178436413,1776462178799821,True,363408,200,40.0,5.0,0.0001,895208,1258616,"{""device"":""adaptive-sampling-node"",""window_id"":13,""window_start_us"":66036084,""window_end_us"":71011161,""published_at_us"":71374569,""edge_delay_us"":363408,""window_start_unix_us"":1776462173461336,""window_end_unix_us"":1776462178436413,""published_at_unix_us"":1776462178799821,""time_sync_ready"":true,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":0.0001}"
